name,type,price
Hot Special Hors D'oeuvres (Per Head),Appetisers,4.50
Crispy Peking Duck (Per Quarter),Appetisers,7.10
Thai Fish Cake,Appetisers,3.10
Salt & Pepper Chicken,Appetisers,5.00
Salt & Pepper Mushrooms,Appetisers,4.50
Salt & Pepper Chicken Wings,Appetisers,4.50
Salt & Pepper Squid,Appetisers,5.00
Chicken Balls (Sweet & Sour Dip),Appetisers,3.90
Sesame Prawn Toast,Appetisers,3.20
Spring Roll,Appetisers,2.50
Pork Chop with Salt & Pepper 9,Appetisers,5.00
Barbecued Ribs with Syrup,Appetisers,5.00
Ribs in Capital Sauce,Appetisers,5.00
Ribs in Black Bean Sauce,Appetisers,5.00
Ribs with Salt & Pepper,Appetisers,5.00
King Prawns with Salt & Pepper,Appetisers,5.90
Deep Fried Wan Ton,Appetisers,3.00
Deep Fried Crab Claws,Appetisers,3.00
Grilled Dumplings,Appetisers,3.50
Skewered Chicken in Malaysian Style,Appetisers,4.90
Skewered Beef in Malaysian Style,Appetisers,4.90
Skewered King Prawns in Malaysian Style ,Appetisers,5.50
King Prawns wrapped in Bacon,Appetisers,5.90
Char Siu Buns (Steamned) (2),Appetisers,2.80
Prawn Cocktail,Appetisers,2.80
Siew Mai (Steamed or Fried) (4),Appetisers,2.80
Crab Stick Cocktail,Appetisers,2.80
Deep Fried Crispy Seaweed,Appetisers,3.00
,,
Chicken & Sweetcorn Soup,Soups,2.50
Crab Stick & Sweetcorn Soup,Soups,2.50
Hot & Sour Soup,Soups,3.00
Special Soup,Soups,3.00
Chicken & Noodle Soup,Soups,3.00
Chicken & Mushroom Soup,Soups,3.00
Wan Ton Soup,Soups,3.50
Wan Ton & Noodle Soup,Soups,3.50
Wan Ton Char Siu Noodle Soup,Soups,4.00
Chicken Tomato Soup (Beef or Pork),Soups,3.00
,,
Shredded Fillet Steak in Chilli & Sweet Sauce,Special Dishes,4.90
Deep Fried Squid in Chilli & Sweet Sauce,Special Dishes,4.90
Deep Fried Squid in Szechuan Style,Special Dishes,4.90
Deep Fried Squid with Ginger & Spring Onions,Special Dishes,4.90
Fillet Steak in Black Pepper Sauce,Special Dishes,7.10
Fillet Steak in Black Bean Sauce,Special Dishes,7.10
Fillet Steak in Satay Sauce,Special Dishes,7.10
Fillet Steak in Cantonese Style,Special Dishes,7.10
Fillet Steak with Ginger & Spring Onion,Special Dishes,7.10
Special Curry,Special Dishes,5.50
Special in Thai Green Curry,Special Dishes,5.50
King Prawn Stuffing,Special Dishes,5.50
Special in Sambal Sauce,Special Dishes,5.50
King Prawns in Malaysian Sauce (Sweer & Spicy),Special Dishes,5.50
,,
Chicken in Black Bean Sauce,Chicken Dishes,4.50
Chicken with Mushrooms,Chicken Dishes,4.50
Chicken in Sweet & Sour Sauce (Hong Kong Style),Chicken Dishes,4.50
Chicken in Curry Sauce V ,Chicken Dishes,4.50
Chicken with Cashew Nuts in Yellow Bean Sauce ,Chicken Dishes,4.50
Chicken in Szechuan Style,Chicken Dishes,4.50
Chicken with Chinese Mushrooms & Bamboo Shoots ,Chicken Dishes,4.50
Chicken Fu Yung ,Chicken Dishes,4.50
Chicken in Lemon Sauce,Chicken Dishes,4.50
Chicken in Orange Sauce,Chicken Dishes,4.50
Chicken with Garlic,Chicken Dishes,4.50
Chicken with Pineapple ,Chicken Dishes,4.50
Shredded Chicken in Chilli & Sweet Sauce,Chicken Dishes,4.50
Chicken with Chilli,Chicken Dishes,4.50
